"","Speaker","Listener","Count","Dialogues","dialouge_lengths"
"77","HARRY","ABERFORTH",16,"You are Aberforth. |Dumbledore  brother.  It  you I have been seeing -- here.  It  you who sent Dobby. |He is dead.|How had you come by it? |Dung had no right selling you that.  It belonged to -|We need to get into Hogwarts.  Dumbledore gave us a job to do|We havebeen hunting Horcruxes.  We think the last one  in the school.  ButWe will need your help getting in. |If we can find it and kill it, then we kill him, and then we can end this war once and for all.  We need to get into Hogwarts tonight|Dumbledore trusted me, to see this through. |Why should he  |I only care about the Dumbledore I knew.  I trusted him. |I had no reason not to -- |You are drunk.|Because I need to.  Because if I Do not, I Do not know who I am anymore.  I have lost too many people to lie down now.  I am not interested in what happened between you and your brother, I Do not even care that you have given up.  I trust the man I knew.  I am going to see this through. |I need to get into the castle tonight|Where have you sent her?",1013
"78","HERMIONE","ABERFORTH",4,"Do you hear much from the others?  From the Order? |That  Ariana, is not it?  Your sister.  She  beautiful|She died very young, did not she? |Mr. Dumbledore  thank you.",168
"79","ABERFORTH","HERMIONE",2,"The Order is finished.  You-KnowWho  won.  Anyone who says otherwise is kidding themselves|She will always be beautiful. ",121
"80","NEVILLE","HARRY",10,"I knew you had come!  I told them all!  Harry Potter would never abandon Hogwarts!|Like hell?  I reckon.  This is nothing.  Seamus is worse.  You will see.  Hermione!  Ron! |Well, ready?|Brother and sister.  They are in charge of discipline.  Like punishment, the Carrows.|Aw, c amon.  Do not be grim. we are all used to it by now.  And the thing is, it helps when people stand up, gives everyone hope.  I used to notice that when you did it, Harry.  C amon,we are almost there. |Right then.  What  the plan, Harry? |What is it?|Never better! Feel like I could spit fire! Hhave not seen Luna, have you?|I am mad for her! Think it is about time I told her, seeing as there is a pretty good chhance we will both be dead by dawn?|Harry! Look out!",743
"81","HARRY","NEVILLE",6,"Neville, you look  |The Carrows?|Okay.  There  something we need to find, something hidden here in the castle.  It could help us defeat You-Know-Who. |We do not know.|Ginny! Neville! You alright?|Luna--?",203
"82","NEVILLE","ABERFORTH",1,"Hey, Ab.  There might be a couple more people on the way.",57
"83","RON","NEVILLE",1,"I Do not remember this being on the Marauder  Map. ",51
"84","NEVILLE","RON",1,"That  because it never existed till now.  The seven secret passages were sealed off before the start of the year.  This is the only way in or out now.  The grounds are crawling with Death Eaters and Dementors. ",210
"85","HERMIONE","NEVILLE",2,"How bad is it, Neville?  With Snape as Headmaster. |They did that to you?  But why? ",84
"86","NEVILLE","HERMIONE",2,"Hardly ever see him.  It  the Carrows you have to watch out for.|Today  Dark Arts lesson had us practicing the Cruciatus Curse.  On First Years.  I refused.  Hogwarts has changed. ",180
"87","NEVILLE","SEAMUS",6,"Hey!  Listen up, you lot!  I have brought you a surprise! |Okay, okay!  Stand down!  Let  not kill them before You-Know-Who gets the chance! |You do know whatyou are doing, Do not you, Seamus? Blimey. Not Good.  |Yeah!  You and whose army! |Sorry. Ow. |Well done, Seamus!",271
"88","SEAMUS","NEVILLE",8,"Not more of Aberforth  cooking, I hope.  Be a surprise if we could digest it. |Blimey.|That  it.  I want a charge on each and every joist. |Woah! Easy up there!|He is good|He is good|Told yeh I would bring  her down.|Stand down, Neville!",237
"89","NEVILLE","NIGEL",1,"Get the word out to Remus and the others that Harry  back. ",59
"90","NIGEL","RIVER, DA",1,"River, DA calling.  Do you read?  We have a new weather report:  Lightning has struck.  I repeat, lightning has struck  ",120
"91","DEAN","HARRY",1,"Where is it?",12
"92","HARRY","DEAN",1,"do not know that either. ",25
"93","HARRY","SEAMUS",2,"I realize it is not much to go on.|I think it might have something to do with Ravenclaw.  It would be small, easy to conceal, valuable.  Any ideas? ",148
"94","SEAMUS ","HARRY",1,"That is nothing to go on. ",26
"95","RON","LUNA ",1,"Oh, bloody hell.  Here we go. ",30
"96","LUNA","RON",1,"The lost diadem of Ravenclaw?  Has not anyone ever heard of it?  It  quite famous. ",83
"97","CHO","RON",1,"It  a kind of crown.  You know, like a tiara.",45
"98","CHO","HARRY",1,"Ravenclaw  was rumored to have magical properties, to enhance the wisdom of the wearer. ",88
"99","GINNY","HARRY",1,"Harry.",6
"100","HARRY","GINNY",1,"Hey there. ",11
"101","SEAMUS","HARRY",1,"Got loads of those, though, does not she?  There  only one Harry",64
"102","RON","SEAMUS",1,"Shut up, Seamus. ",17
"103","NEVILLE","GINNY",5,"What is it, Ginny?|Not good|Are you bloody joking?!|That was kind of exciting.|Not good.",88
"104","GINNY","NEVILLE",6,"Snape knows.  He knows that Harry was spotted in Hogsmeade.|Ready!?|What?|Mad. Thhe both of you.|I know.|Who  that?
  Hagrid  carrying?
Neville, who is that?",157
"105","ALECTO CARROW","MAISY REYNOLDS ",1,"Put a smile on, Miss Reynolds.  Would not want me to have to pay a visit to Daddy again, would you?",99
"106","SNAPE ","ALECTO CARROW",3,"Many of you are surely wondering why I have summoned you here at this hour.  It has come to my attention that earlier this evening  Harry Potter was sighted in Hogsmeade. |I mention this in the hopes that truth will not be supplanted by rumor. |For myself and a few select members of the staff this comes as little surprise.  We have, for some time, considered Mr. Potter  return to Hogwarts to be not only possible but inevitable.  Consequently, in the past several months and under my specific direction, exhaustive defensive strategies have been employed to defeat any attempt Mr. Potter might make to breach these walls.  But know this.  Should anyone -- student or staff  -- attempt to aid Mr. Potter, that person will be punished in a manner consistent with the severity of their transgression.  Rest assured:  So long as I am Headmaster at Hogwarts, Harry Potter will never again step foot in this castle. ",913
"107","SNAPE ","MAISY REYNOLDS ",1,"Now then.  If anyone here has knowledge of Mr. Potter  movements this evening  I invite them to step forward now. ",114
"108","HARRY","SNAPE",4,"I think I can help you out with that  |How dare you stand where he stood. |Tell them how it was that night.  Tell then how you looked him in the eye, a man who trusted you  and killed him.  Tell them! |Give me something! Quickly! A flask! Anything. ",249
"109","HARRY","SNAPE ",2,"It would seem that, despite your exhaustive defensive strategies, you have a bit of a security problem, Headmaster. |And I am afraid it  rather extensive",153
"110","PROFESSOR McGONAGALL","SNAPE",1,"Coward!  COWARD!  And he did not even stay to fight! ",53
"111","PROFESSOR McGONAGALL","HARRY",8,"Mr. Potter, do you mind telling me whatyou are doing here, which, I trust you realize, is an act of complete and utter lunacy? |I thought it might have something to do with that. |It appears that your Headmaster, to use the common phrase, has done a bunk. |I presume you have a reason for returning, Potter.  What is it you need? |Do what you have to do. I will secure the castle. |We teachers are rather good at magic, Potter.  We haveeven been known to turn out a worthwhile witch or wizard on occasion. |I think it  time I ask a few of them to take their magic beyond the classroom.  What do you think? |By the way Potter, it is good to see you. ",649
"112","HARRY","PROFESSOR McGONAGALL",5,"I am a Gryffindor. |Time.  As much as you can give me. |Is that possible, professor? |I think you are right. |You, too, professor ",130
"113","VOLDEMORT","HARRY",8,"I know that many of you will want  to fight.  Some of you may even think this wise.  But this is folly. |I wish you no harm.  I have great respect for the students of Hogwarts.  I was once one myself after all.  I ask for but one thing and if granted no magical blood shall be spilt  |Give me Harry Potter.  Do this and none shall be harmed.  Give me Harry Potter and I shall leave Hogwarts untouched.  Give me Harry Potter and you will be rewarded|You have fought valiantly  but in vain. I do not wash this. Every drop of magical blood spilled is a terrible waste. I therefore command my forces to retreat. In their absence, disposs of your dead with dignity. Treat your injured. Harry Potter, I speak now directly to you. On this night you have allowed your friends to die for you rather thhan face my yourself. There is no greater dishonor. Join me in the Forbidden Forest and confront your fate. Shhould you do so i give my word that no other life will be lost on this nighht. You have one hour. If, at the end of that time, you have not given yourself up, then I shall punish every last man, woman and child whho tries to conceal you from me. |Harry Potter. The Boy Who Lived.
Come to die.|Leave her!
I said LEAVE HER!|Die! Die!
Why do you live!|It belongs to me! I killed Snape!",1284
"114","PANSY PARKINSON","VOLDEMORT",1,"But he  there!  Potter  there!  Someone grab him! ",50
"115","FILCH","PROFESSOR McGONAGALL",3,"Students out of bed!  Students in the corridors! |Oh, sorry mum. |Right away. Er, exactly where is it I had be leading em to, mum? ",131
"116","PROFESSOR McGONAGALL","FILCH",3,"They are supposed to be out of bed, you blithering idiot! |Wait!  As it turns out, Mr. Filch, your arrival is most opportune.  If you would, I had like you to lead Miss Parkinson and the rest of Slytherin House from the Hall. |The dungeons should do.",250
"117","NEVILLE","PROFESSOR McGONAGALL",3,"Let me get this straight, Professor. you are giving us permission to do this? |To blow it up. Boom. |Wicked. Um  exactly how do you propose we do this, Professor? ",163
"118","PROFESSOR McGONAGALL","NEVILLE",3,"That is correct, Longbottom. |Boom.|Why Do not you confer with Mr. Finnegan. As I recall, he has a particular proclivity for pyrotechnics. ",139
